Rank,Player,Team,Bye Week
1,Sam LaPorta,DET,5
2,Travis Kelce,KC,6
3,Mark Andrews,BAL,14
4,Trey McBride,ARI,11
5,Dalton Kincaid,BUF,12
6,George Kittle,SF,9
7,Evan Engram,JAX,12
8,Kyle Pitts,ATL,12
9,David Njoku,CLE,10
10,Jake Ferguson,DAL,7
11,Brock Bowers,LV,10
12,Dallas Goedert,PHI,5
13,Dalton Schultz,HOU,14
14,Pat Freiermuth,PIT,9
15,Cole Kmet,CHI,7
16,Hunter Henry,NE,14
17,Luke Musgrave,GB,10
18,T.J. Hockenson,MIN,6
19,Taysom Hill,NO,12
20,Cade Otton,TB,11
21,Daniel Bellinger,NYG,11
22,Chigoziem Okonkwo,TEN,5
23,Ben Sinnott,WAS,14
24,Juwan Johnson,NO,12
25,Tyler Conklin,NYJ,12
26,Tyler Higbee,LAR,6
27,Mike Gesicki,CIN,12
28,Hayden Hurst,LAC,5
29,Zach Ertz,WAS,14
30,Noah Fant,SEA,10
31,Jonnu Smith,MIA,6
32,Isaiah Likely,BAL,14