Rank,Player,Position,Team,Bye
1,Christian McCaffrey,RB,49ers,9
2,CeeDee Lamb,WR,Cowboys,7
3,Tyreek Hill,WR,Dolphins,6
4,Justin Jefferson,WR,Vikings,6
5,Ja’Marr Chase,WR,Bengals,12
6,Amon-Ra St. Brown,WR,Lions,5
7,Breece Hall,RB,Jets,12
8,Bijan Robinson,RB,Falcons,12
9,A.J. Brown,WR,Eagles,5
10,Garrett Wilson,WR,Jets,12
11,Puka Nacua,WR,Rams,6
12,Jonathan Taylor,RB,Colts,14
13,Jahmyr Gibbs,RB,Lions,5
14,Marvin Harrison,WR,Cardinals,11
15,Saquon Barkley,RB,Eagles,5
16,Drake London,WR,Falcons,12
17,Nico Collins,WR,Texans,14
18,Derrick Henry,RB,Ravens,14
19,Chris Olave,WR,Saints,12
20,Isiah Pacheco,RB,Chiefs,6
21,Davante Adams,WR,Raiders,10
22,Kyren Williams,RB,Rams,6
23,Deebo Samuel,WR,49ers,9
24,Jaylen Waddle,WR,Dolphins,6
25,Mike Evans,WR,Buccaneers,11
26,Travis Etienne,RB,Jaguars,12
27,De’Von Achane,RB,Dolphins,6
28,Brandon Aiyuk,WR,49ers,9
29,Cooper Kupp,WR,Rams,6
30,Malik Nabers,WR,Giants,11
31,DeVonta Smith,WR,Eagles,5
32,DJ Moore,WR,Bears,7
33,Stefon Diggs,WR,Texans,14
34,DK Metcalf,WR,Seahawks,10
35,Josh Allen,QB,Bills,12
36,Jalen Hurts,QB,Eagles,5
37,Sam LaPorta,TE,Lions,5
38,Michael Pittman,WR,Colts,14
39,Travis Kelce,TE,Chiefs,6
40,Rashee Rice,WR,Chiefs,6
41,Tank Dell,WR,Texans,14
42,Zay Flowers,WR,Ravens,14
43,Patrick Mahomes,QB,Chiefs,6
44,Trey McBride,TE,Cardinals,11
45,Joe Mixon,RB,Texans,14
46,Mark Andrews,TE,Ravens,14
47,James Cook,RB,Bills,12
48,Josh Jacobs,RB,Packers,10
49,Lamar Jackson,QB,Ravens,14
50,Amari Cooper,WR,Browns,10
51,Tee Higgins,WR,Bengals,12
52,Rachaad White,RB,Buccaneers,11
53,Christian Kirk,WR,Jaguars,12
54,Kyler Murray,QB,Cardinals,11
55,Anthony Richardson,QB,Colts,14
56,Dalton Kincaid,TE,Bills,12
57,Keenan Allen,WR,Bears,7
58,George Pickens,WR,Steelers,9
59,Alvin Kamara,RB,Saints,12
60,Terry McLaurin,WR,Commanders,14
61,Chris Godwin,WR,Buccaneers,11
62,Kenneth Walker,RB,Seahawks,10
63,Diontae Johnson,WR,Panthers,11
64,Calvin Ridley,WR,Titans,5
65,George Kittle,TE,49ers,9
66,Jayden Reed,WR,Packers,10
67,C.J. Stroud,QB,Texans,14
68,Xavier Worthy,WR,Chiefs,6
69,James Conner,RB,Cardinals,11
70,Evan Engram,TE,Jaguars,12
71,Aaron Jones,RB,Vikings,6
72,Jake Ferguson,TE,Cowboys,7
73,Kyle Pitts,TE,Falcons,12
74,David Montgomery,RB,Lions,5
75,DeAndre Hopkins,WR,Titans,5
76,Rome Odunze,WR,Bears,7
77,Najee Harris,RB,Steelers,9
78,Rhamondre Stevenson,RB,Patriots,14
79,Keon Coleman,WR,Bills,12
80,Christian Watson,WR,Packers,10
81,Hollywood Brown,WR,Chiefs,6
82,Raheem Mostert,RB,Dolphins,6
83,Ladd McConkey,WR,Chargers,5
84,D’Andre Swift,RB,Bears,7
85,Brian Thomas,WR,Jaguars,12
86,Jameson Williams,WR,Lions,5
87,Jaylen Warren,RB,Steelers,9
88,Brian Robinson,RB,Commanders,14
89,Joe Burrow,QB,Bengals,12
90,Jaxon Smith-Njigba,WR,Seahawks,10
91,Zamir White,RB,Raiders,10
92,Jordan Addison,WR,Vikings,6
93,Jordan Love,QB,Packers,10
94,Jayden Daniels,QB,Commanders,14
95,Dak Prescott,QB,Cowboys,7
96,Tony Pollard,RB,Titans,5
97,David Njoku,TE,Browns,10
98,Chase Brown,RB,Bengals,12
99,Romeo Doubs,WR,Packers,10
100,Courtland Sutton,WR,Broncos,14
101,Zack Moss,RB,Bengals,12
102,Brock Purdy,QB,49ers,9
103,Joshua Palmer,WR,Chargers,5
104,Javonte Williams,RB,Broncos,14
105,Tyjae Spears,RB,Titans,5
106,Devin Singletary,RB,Giants,11
107,Curtis Samuel,WR,Bills,12
108,Jonathon Brooks,RB,Panthers,11
109,Caleb Williams,QB,Bears,7
110,Dallas Goedert,TE,Eagles,5
111,Brock Bowers,TE,Raiders,10
112,Tyler Lockett,WR,Seahawks,10
113,Trevor Lawrence,QB,Jaguars,12
114,Jerry Jeudy,WR,Browns,10
115,Rashid Shaheed,WR,Saints,12
116,Austin Ekeler,RB,Commanders,14
117,Jakobi Meyers,WR,Raiders,10
118,Khalil Shakir,WR,Bills,12
119,Ezekiel Elliott,RB,Cowboys,7
120,Gus Edwards,RB,Chargers,5
121,Blake Corum,RB,Rams,6
122,Kirk Cousins,QB,Falcons,12
123,Zach Charbonnet,RB,Seahawks,10
124,Rico Dowdle,RB,Cowboys,7
125,Jared Goff,QB,Lions,5
126,Tua Tagovailoa,QB,Dolphins,6
127,Nick Chubb,RB,Browns,10
128,Gabe Davis,WR,Jaguars,12
129,Brandin Cooks,WR,Cowboys,7
130,Matthew Stafford,QB,Rams,6
131,Ja’Lynn Polk,WR,Patriots,14
132,Justin Herbert,QB,Chargers,5
133,Adonai Mitchell,WR,Colts,14
134,Dontayvion Wicks,WR,Packers,10
135,Ty Chandler,RB,Vikings,6
136,Pat Freiermuth,TE,Steelers,9
137,Dalton Schultz,TE,Texans,14
138,Darnell Mooney,WR,Falcons,12
139,Jerome Ford,RB,Browns,10
140,Trey Benson,RB,Cardinals,11
141,Mike Williams,WR,Jets,12
142,J.K. Dobbins,RB,Chargers,5
143,Jahan Dotson,WR,Commanders,14
144,Jaleel McLaughlin,RB,Broncos,14
145,Deshaun Watson,QB,Browns,10
146,T.J. Hockenson,TE,Vikings,6
147,Aaron Rodgers,QB,Jets,12
148,Tyler Allgeier,RB,Falcons,12
149,Chuba Hubbard,RB,Panthers,11
150,Baker Mayfield,QB,Buccaneers,11
151,Josh Downs,WR,Colts,14
152,MarShawn Lloyd,RB,Packers,10
153,Cole Kmet,TE,Bears,7
154,Luke Musgrave,TE,Packers,10
155,Antonio Gibson,RB,Patriots,14
156,Ricky Pearsall,WR,49ers,9
157,Taysom Hill,QB,Saints,12
158,Rashod Bateman,WR,Ravens,14
159,Adam Thielen,WR,Panthers,11
160,DeMario Douglas,WR,Patriots,14
161,Geno Smith,QB,Seahawks,10
162,Will Levis,QB,Titans,5
163,Hunter Henry,TE,Patriots,14
164,Noah Fant,TE,Seahawks,10
165,Xavier Legette,WR,Panthers,11
166,Ray Davis,RB,Bills,12
167,Braelon Allen,RB,Jets,12
168,Bryce Young,QB,Panthers,11
169,Jalen McMillan,WR,Buccaneers,11
170,Jaylen Wright,RB,Dolphins,6
171,Greg Dortch,WR,Cardinals,11
172,Wan’Dale Robinson,WR,Giants,11
173,Michael Wilson,WR,Cardinals,11
174,Andrei Iosivas,WR,Bengals,12
175,Sam Darnold,QB,Vikings,6
176,Bo Nix,QB,Broncos,14
177,Khalil Herbert,RB,Bears,7
178,Tyrone Tracy,RB,Giants,11
179,Justin Fields,QB,Steelers,9
180,Jermaine Burton,WR,Bengals,12
181,Bucky Irving,RB,Buccaneers,11
182,Derek Carr,QB,Saints,12
183,Jonnu Smith,TE,Dolphins,6
184,Marvin Mims,WR,Broncos,14
185,Tyler Conklin,TE,Jets,12
186,Cade Otton,TE,Buccaneers,11
187,Demarcus Robinson,WR,Rams,6
188,Quentin Johnston,WR,Chargers,5
189,Jordan Mason,RB,49ers,9
190,Audric Estime,RB,Broncos,14
191,Malachi Corley,WR,Jets,12
192,Drake Maye,QB,Patriots,14
193,Dameon Pierce,RB,Texans,14
194,Juwan Johnson,TE,Saints,12
195,Tyler Boyd,WR,Titans,5
196,Isaiah Likely,TE,Ravens,14
197,Chigoziem Okonkwo,TE,Titans,5
198,Kendre Miller,RB,Saints,12
199,Ben Sinnott,TE,Commanders,14
200,Clyde Edwards-Helaire,RB,Chiefs,6