rank,name
1,Christian McCaffrey
2,CeeDee Lamb
3,Tyreek Hill
4,Justin Jefferson
5,Amon-Ra St. Brown
6,Ja'Marr Chase
7,Bijan Robinson
8,Breece Hall
9,A.J. Brown
10,Saquon Barkley
11,Jahmyr Gibbs
12,Puka Nacua
13,Garrett Wilson
14,Jonathan Taylor
15,Marvin Harrison Jr.
16,Travis Etienne
17,Kyren Williams
18,Davante Adams
19,Chris Olave
20,Brandon Aiyuk
21,Drake London
22,Josh Jacobs
23,Derrick Henry
24,Rachaad White
25,Isiah Pacheco
26,Jalen Hurts
27,Josh Allen
28,De'Vone Achane
29,Mike Evans
30,James Cook
31,DK Metcalf
32,Michael Pittman Jr.
33,Sam LaPorta
34,Nico Collins
35,Travis Kelce
36,Patrick Mahomes
37,Deebo Samuel Sr.
38,Lamar Jackson
39,D.J. Moore
40,Mark Andrews
41,Jaylen Waddle
42,Devonta Smith
43,Stefon Diggs
44,Malik Nabers
45,Trey McBride
46,Joe Mixon
47,Cooper Kupp
48,Alvin Kamara
49,Ken Walker
50,Dalton Kincaid
51,C.J. Stroud
52,Anthony Richardson
53,Amari Cooper
54,D'Andre Swift
55,Rhamondre Stevenson
56,Terry McLaurin
57,Christian Kirk
58,Tee Higgins
59,Zay Flowers
60,George Kittle
61,George Pickens
62,Keenan Allen
63,Joe Burrow
64,Jayden Reed
65,Zack Moss
66,James Conner
67,Tank Dell
68,Zamir White
69,Dak Prescott
70,Jonathon Brooks
71,Aaron Jones
72,Raheem Mostert
73,David Montgomery
74,Evan Engram
75,Calvin Ridley
76,Kyle Pitts
77,Jordan Love
78,Najee Harris
79,Diontae Johnson
80,Marquise Brown
81,Javonte Williams
82,Ladd McConkey
83,Chris Godwin
84,Tony Pollard
85,Austin Ekeler
86,Brian Robinson Jr.
87,Courtland Sutton
88,Devin Singletary
89,Jake Ferguson
90,Rashee Rice
91,David Njoku
92,DeAndre Hopkins
93,Jordan Addison
94,Jaxon Smith-Njigba
95,Brian Thomas Jr.
96,Kyler Murray
97,Dallas Goedert
98,Nick Chubb
99,Brock Bowers
100,Brock Purdy
101,Jameson Williams
102,Tyler Lockett
103,Jayden Daniels
104,Jaylen Warren
105,Tyjae Spears
106,Ezekiel Elliott
107,Kirk Cousins
108,Keon Coleman
109,Rome Odunze
110,Jared Goff
111,Caleb Williams
112,Trevor Lawrence
113,Xavier Worthy
114,Christian Watson
115,Tua Tagovailoa
116,Curtis Samuel
117,Justin Herbert
118,Matthew Stafford
119,Trey Benson
120,Tyler Allgeier
121,Dalton Schultz
122,Pat Freiermuth
123,Jerome Ford
124,Zach Charbonnet
125,Mike Williams
126,Jakobi Meyers
127,Cole Kmet
128,Adam Thielen
129,Brandin Cooks
130,Rashid Shaheed
131,Gabe Davis
132,Josh Downs
133,Jerry Jeudy
134,Chase Brown
135,Aaron Rodgers
136,Blake Corum
137,Jalin Hyatt
138,DeMario Douglas
139,Baker Mayfield
140,Josh Palmer
141,J.K. Dobbins
142,Michael Wilson
143,Hunter Henry
144,Deshaun Watson
145,Taysom Hill
146,Luke Musgrave
147,Marvin Mims
148,T.J. Hockenson
149,Gus Edwards
150,Khalil Shakir
151,Ricky Pearsall
152,Wan'Dale Robinson
153,Odell Beckham Jr.
154,Ja'Lynn Polk
155,Rico Dowdle
156,Quentin Johnston
157,Romeo Doubs
158,Chuba Hubbard
159,Jahan Dotson
160,Antonio Gibson
161,Kimani Vidal
162,Dontayvion Wicks
163,Jaleel McLaughlin
164,Bucky Irving
165,MarShawn Lloyd
166,Ty Chandler
167,Cade Otton
168,Kendre Miller
169,Alexander Mattison
170,Ray Davis
171,Derek Carr
172,Kenneth Gainwell
173,Darnell Mooney
174,Xavier Legette
175,Kendrick Bourne
176,Rashod Bateman
177,Adonai Mitchell
178,Daniel Bellinger
179,Tyler Boyd
180,Russell Wilson
181,Elijah Mitchell
182,Will Levis
183,Bryce Young
184,Khalil Herbert
185,Jaylen Wright
186,Keaton Mitchell
187,Malachi Corley
188,Elijah Moore
189,Chigoziem Okonkwo
190,Roman Wilson
191,Treylon Burks
192,Jermaine Burton
193,Ben Sinnott
194,Juwan Johnson
195,Jalen McMillan
196,Drake Maye
197,Miles Sanders
198,Geno Smith
199,Dameon Pierce
200,Samaje Perine